sector,Bus Transit,Clinic,Coast,College,Convenience Store,Elementary School,Food,High School,Hospital,Mall,Market,Middle School,Movie Theater,Nature Reserve,Park,Preschool,Rail Transit,Residence,School,Theme Park,Trail,Zoo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07792207792207792,0.05194805194805195,0.0,0.14285714285714285,0.05194805194805195,0.0,0.14285714285714285,0.012987012987012988,0.11688311688311688,0.025974025974025976,0.0,0.0,0.0,0.0,0.2857142857142857,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.0,0.03896103896103896,0.0
2,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.22727272727272727,0.015151515151515152,0.0,0.030303030303030304,0.045454545454545456,0.0,0.16666666666666666,0.0,0.0,0.015151515151515152,0.0,0.0,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.030303030303030304,0.15151515151515152,0.015151515151515152,0.0,0.22727272727272727,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.21978021978021978,0.06593406593406594,0.0,0.0989010989010989,0.12087912087912088,0.0,0.15384615384615385,0.02197802197802198,0.0,0.03296703296703297,0.0,0.0,0.0,0.0,0.01098901098901099,0.03296703296703297,0.02197802197802198,0.2087912087912088,0.0,0.0,0.01098901098901099,0.0
6,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.25,0.03571428571428571,0.0,0.08928571428571429,0.125,0.0,0.23214285714285715,0.0,0.0,0.03571428571428571,0.0,0.017857142857142856,0.0,0.0,0.10714285714285714,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.0,0.0,0.0,0.0
8,0.18181818181818182,0.01818181818181818,0.0,0.01818181818181818,0.14545454545454545,0.01818181818181818,0.18181818181818182,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.03636363636363636,0.0,0.01818181818181818,0.2909090909090909,0.0,0.0,0.01818181818181818,0.0
9,0.0,0.0,0.1,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
10,0.1717171717171717,0.030303030303030304,0.0,0.0,0.26262626262626265,0.0,0.1414141414141414,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.26262626262626265,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091
12,0.21505376344086022,0.0,0.0,0.07526881720430108,0.11827956989247312,0.010752688172043012,0.11827956989247312,0.07526881720430108,0.0,0.021505376344086023,0.0,0.0,0.0,0.0,0.053763440860215055,0.021505376344086023,0.021505376344086023,0.23655913978494625,0.03225806451612903,0.0,0.0,0.0
13,0.23076923076923078,0.01098901098901099,0.0,0.0,0.14285714285714285,0.0,0.10989010989010989,0.0,0.0,0.21978021978021978,0.01098901098901099,0.0,0.04395604395604396,0.0,0.10989010989010989,0.0,0.02197802197802198,0.07692307692307693,0.0,0.01098901098901099,0.01098901098901099,0.0
14,0.26136363636363635,0.011363636363636364,0.06818181818181818,0.22727272727272727,0.06818181818181818,0.0,0.11363636363636363,0.022727272727272728,0.0,0.011363636363636364,0.011363636363636364,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0
15,0.038461538461538464,0.0,0.0,0.019230769230769232,0.038461538461538464,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.019230769230769232,0.057692307692307696,0.38461538461538464
16,0.20930232558139536,0.03488372093023256,0.0,0.05813953488372093,0.12790697674418605,0.0,0.12790697674418605,0.03488372093023256,0.0,0.03488372093023256,0.011627906976744186,0.0,0.0,0.023255813953488372,0.03488372093023256,0.023255813953488372,0.011627906976744186,0.2441860465116279,0.0,0.0,0.023255813953488372,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0
18,0.18181818181818182,0.04040404040404041,0.0,0.21212121212121213,0.08080808080808081,0.010101010101010102,0.1111111111111111,0.030303030303030304,0.0,0.04040404040404041,0.010101010101010102,0.0,0.010101010101010102,0.0,0.050505050505050504,0.0,0.010101010101010102,0.21212121212121213,0.0,0.0,0.0,0.0
19,0.2972972972972973,0.0945945945945946,0.04054054054054054,0.04054054054054054,0.14864864864864866,0.0,0.13513513513513514,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.04054054054054054,0.013513513513513514,0.0,0.14864864864864866,0.0,0.0,0.0,0.0
20,0.2037037037037037,0.14814814814814814,0.05555555555555555,0.0,0.0,0.0,0.12962962962962962,0.0,0.24074074074074073,0.0,0.0,0.0,0.018518518518518517,0.0,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.0,0.09259259259259259,0.0
21,0.2631578947368421,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
22,0.2898550724637681,0.0,0.0,0.37681159420289856,0.014492753623188406,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.11594202898550725,0.0,0.0,0.0,0.0
23,0.20212765957446807,0.02127659574468085,0.02127659574468085,0.05319148936170213,0.2127659574468085,0.010638297872340425,0.10638297872340426,0.010638297872340425,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.09574468085106383,0.0,0.010638297872340425,0.14893617021276595,0.0,0.02127659574468085,0.0,0.0
24,0.2571428571428571,0.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.0,0.3142857142857143,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.05714285714285714,0.0,0.0,0.05714285714285714,0.0
25,0.2261904761904762,0.0,0.011904761904761904,0.023809523809523808,0.19047619047619047,0.011904761904761904,0.14285714285714285,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.023809523809523808,0.011904761904761904,0.20238095238095238,0.0,0.0,0.011904761904761904,0.011904761904761904
26,0.09302325581395349,0.05813953488372093,0.0,0.06976744186046512,0.13953488372093023,0.023255813953488372,0.11627906976744186,0.046511627906976744,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.011627906976744186,0.3953488372093023,0.011627906976744186,0.0,0.0,0.0
27,0.06382978723404255,0.0,0.06382978723404255,0.0425531914893617,0.02127659574468085,0.0,0.2127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.02127659574468085,0.02127659574468085,0.0,0.46808510638297873,0.0,0.0
28,0.14634146341463414,0.024390243902439025,0.0,0.036585365853658534,0.14634146341463414,0.0,0.13414634146341464,0.036585365853658534,0.0,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0,0.036585365853658534,0.0,0.012195121951219513,0.3780487804878049,0.0,0.0,0.024390243902439025,0.0
29,0.15789473684210525,0.03508771929824561,0.0,0.0,0.3333333333333333,0.0,0.17543859649122806,0.0,0.0,0.08771929824561403,0.0,0.0,0.03508771929824561,0.0,0.07017543859649122,0.0,0.03508771929824561,0.0,0.0,0.03508771929824561,0.03508771929824561,0.0
30,0.2692307692307692,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.19230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.0,0.09615384615384616,0.0,0.019230769230769232,0.25,0.0,0.0,0.019230769230769232,0.0
33,0.32432432432432434,0.04054054054054054,0.0,0.02702702702702703,0.06756756756756757,0.013513513513513514,0.13513513513513514,0.02702702702702703,0.0,0.02702702702702703,0.013513513513513514,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.24324324324324326,0.02702702702702703,0.0,0.013513513513513514,0.0
34,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0
35,0.17708333333333334,0.041666666666666664,0.0,0.2604166666666667,0.07291666666666667,0.010416666666666666,0.10416666666666667,0.0,0.0,0.03125,0.010416666666666666,0.0,0.0,0.0,0.020833333333333332,0.0,0.010416666666666666,0.23958333333333334,0.0,0.0,0.020833333333333332,0.0
37,0.1,0.014285714285714285,0.04285714285714286,0.014285714285714285,0.07142857142857142,0.0,0.17142857142857143,0.0,0.0,0.04285714285714286,0.0,0.0,0.02857142857142857,0.0,0.42857142857142855,0.0,0.014285714285714285,0.0,0.0,0.05714285714285714,0.014285714285714285,0.0
